episode,reward,steps,laps,collisions,speed
1,4355.426593627946,1653,1,21,31.955421295068952
2,6100.6485137938935,2500,0,35,21.57995079158717
3,3778.231485443134,1406,1,15,60.588744234965105
4,6082.931569824163,2472,1,33,50.47806520159236
5,4087.0475440216196,1564,1,19,46.36509701502532
6,4625.477449183475,1646,1,21,32.157281058489716
7,6096.174316406212,2500,0,30,26.924127919072262
8,4696.914195671078,1523,1,17,38.347787453403456
9,6497.616854858337,2500,0,32,29.24865052317437
10,4766.554715728756,1905,1,23,38.92193124178845
11,5391.178482151006,2060,1,28,53.01787647990219
12,4974.516052246074,1845,1,22,70.14059213117474
13,3561.0821097946305,1057,1,12,77.89666963097892
14,3506.5467492675966,1177,1,16,32.11655365337681
15,2841.816472167973,594,1,6,75.35033725853424
16,4790.372589797987,1559,1,23,61.86489472669039
17,4178.778315429704,1306,1,17,46.59137989720908
18,4609.828386478438,1441,1,18,32.144254287680695
19,3613.7227130890014,1030,1,14,39.5786768480661
20,4227.039846305866,1266,1,17,59.92031945566617
21,4085.006567344682,1272,1,19,66.58898611072328
22,4549.060300884266,1517,1,22,32.58655452327796
23,4973.930938720705,1565,1,22,58.358226713067914
24,3143.561970891958,728,1,7,64.13175636612083
25,5003.753585815422,1580,1,23,36.20269139606899
26,4606.227962188728,1211,1,16,79.8807162429384
27,3179.151330566421,825,1,9,32.62433950678369
28,3116.528044166575,808,1,10,65.02074645955605
29,4016.8437995529384,1337,1,19,37.9294272115445
30,3186.1139348793135,836,1,10,43.45614433551199
31,3227.7647229957665,836,1,10,89.81407389304076
32,3752.781430053726,1005,1,13,77.32454780734962
33,3905.6429277420198,1020,1,10,67.69000993888076
34,4352.235979423539,1122,1,14,80.60099608147982
35,3797.7255012321593,961,1,12,50.022149653936005
36,2913.679431991583,601,1,7,44.92683466106326
37,2941.416277055748,651,1,7,44.3250481778968
38,3089.0808398437603,674,1,8,42.70196086556055
39,3972.474118003858,1017,1,13,72.49397861307725
40,3708.3237462234624,994,1,11,78.31291138426626
41,4866.154621009842,1361,1,20,95.0
42,4852.666010589611,1294,1,19,93.48608
43,3461.3893019867055,839,1,10,73.49360328360503
44,3258.6670379638763,785,1,10,76.61004778607453
45,3940.467460670487,983,1,13,41.34416245690874
46,3827.742219219218,872,1,12,65.42537865742372
47,3247.699749984746,673,1,9,60.03508603558736
48,3266.1010723495588,748,1,9,78.76255179878348
49,3580.5063373565804,870,1,12,87.85111939402411
50,2783.0272462463445,557,1,5,95.0
51,3095.0391059207977,691,1,8,44.502878437475616
52,3231.8247042846715,694,1,9,87.35434760142427
53,2601.3436284256027,459,1,3,56.52238671980202
54,3347.3037958145223,725,1,9,61.94840222788473
55,4279.840304107674,1024,1,15,37.45223831731295
56,3455.8646349716278,726,1,10,72.84312876552002
57,2976.627000808722,595,1,7,72.53064257182655
58,2714.2483287525242,484,1,5,46.602077921171706
59,3256.7939523315495,862,1,12,88.3689472
60,2872.3318252182044,462,1,4,89.13532748071782
61,3946.488507251753,856,1,11,75.13043588418951
62,2449.3966117668188,351,1,2,95.0
63,3173.584242649084,699,1,10,80.68612527845141
64,3413.370493621834,714,1,10,51.66952661591519
65,3048.2598826599196,564,1,6,87.92981703538408
66,4293.654094505319,1010,1,15,75.15419343649681
67,3184.6370165252793,703,1,10,49.72001643850862
68,2913.7489758300876,631,1,7,39.82106298934715
69,2714.473649291994,396,1,3,95.0
70,3662.206001892096,753,1,10,80.61169902565409
71,3636.351341342938,775,1,10,72.65986633560871
72,2790.633018617636,541,1,6,67.83352569383962
73,2599.475794029241,380,1,3,79.45638984362884
74,2958.0636970138594,557,1,7,84.10418387424365
75,2689.810288314823,391,1,3,93.90303301814714
76,2632.64716018677,378,1,3,95.0
77,3548.5140262603863,685,1,9,87.70932378216946
78,3032.297252750403,495,1,5,95.0
79,2693.747404937748,416,1,4,94.14332040502937
80,2683.8823005676313,425,1,4,94.24
81,2970.44184459687,608,1,7,54.36328362798947
82,2772.3620153808633,478,1,5,87.6619956224
83,3265.6144676208564,540,1,6,95.0
84,2703.4200457000757,448,1,5,90.48347447160074
85,2684.118140258791,398,1,3,95.0
86,2749.343116321569,433,1,4,41.05166163962533
87,2854.7060975647,467,1,5,77.06751070623305
88,2886.2712062549667,499,1,5,11.626842621776778
89,3163.5259824943587,584,1,7,87.13761610284104
90,2601.892984771732,350,1,2,95.0
91,2762.376727981572,449,1,4,53.16799411694303
92,2784.29461442948,469,1,5,71.7572482013974
93,3201.8769713592583,509,1,6,46.36568932966165
94,3749.2954368209944,707,1,10,88.93487978355367
95,2905.118023643498,452,1,4,70.83219304171897
96,3173.8446853637734,485,1,5,87.57979136
97,2984.5489043808075,462,1,5,95.0
98,2994.9460205078162,465,1,5,93.22516062369951
99,4069.1313949394334,786,1,12,93.48608
100,3241.5556170654363,549,1,7,95.0
101,3258.3668343734794,574,1,8,34.40069509966897
102,3027.2339374733056,499,1,6,91.3269467704997
103,3112.1382995224076,472,1,5,87.0754466477189
104,2657.0977898025567,473,1,6,91.96149260899192
105,3589.5496640396236,674,1,10,94.11713265402052
106,3617.7662213134868,721,1,10,82.56173378309235
107,3077.9188721275364,487,1,5,83.37227263995302
108,5760.394005851745,1416,1,27,95.0
109,3270.8285637283434,713,1,13,95.0
110,2409.7700366446397,243,1,0,93.48608
111,3858.24915893556,826,1,14,90.58910954013858
112,3234.0193248367445,687,1,13,91.7417472
113,3768.1842054176414,626,1,9,95.0
114,2643.31121650696,337,1,2,77.6610943167271
115,3381.4758906555253,509,1,6,84.46693231936143
116,3759.966563453684,693,1,10,93.62556831662081
117,2602.8064648437544,301,1,1,89.0816
118,2841.85607048989,384,1,3,95.0
119,3205.342399253851,508,1,6,61.605749742933696
120,2906.7767242431705,400,1,3,93.48608
121,3419.9146753454256,583,1,7,95.0
122,2687.1695220732736,358,1,3,44.4076161796886
123,2603.9848406219508,453,1,6,91.7417472
124,3047.2172851562564,435,1,4,95.0
125,3021.4721119689984,411,1,4,95.0
126,2764.7629103183826,425,1,5,95.0
127,3351.189411182409,529,1,7,56.593805958229645
128,2518.4928489494364,271,1,1,89.0816
129,2506.934287109378,313,1,1,80.36863689085041
130,3011.016768589022,453,1,5,85.51991547635384
131,2936.689815852647,377,1,3,95.0
132,2412.428243198396,238,1,0,89.58406511936143
133,3160.8097149658256,576,1,8,93.6793172574208
134,2572.359844360355,327,1,3,79.30757827634703
135,2497.1519175910994,273,1,1,95.0
136,4332.7610540771575,848,1,15,94.24
137,2483.7296753096607,326,1,3,95.0
138,4556.479459342964,787,1,14,91.67857384812076
139,2531.461646165848,283,1,1,94.24
140,3724.414475097663,593,1,9,80.8630763437634
141,3544.095429229742,565,1,7,95.0
142,2522.115644531254,251,1,1,95.0
143,4453.269101200114,777,1,12,95.0
144,2916.2288486862235,363,1,3,93.48608
145,3219.0835337829635,414,1,4,90.1525236910441
