episode,reward,steps,laps,collisions,speed
1,5224.132879638638,2500,0,36,23.97275627208337
2,5095.725009155262,2500,0,33,31.391315341460686
3,5555.21876865386,2232,1,28,35.96108982054683
4,5660.484448852516,2448,1,31,45.72467353198962
5,4868.145266113276,2262,1,26,33.156092519408844
6,5620.187542724579,2500,0,33,39.972033579963224
7,5778.204183959908,2500,0,34,28.42292033698133
8,4890.295490236287,1749,1,20,37.78385567417753
9,4100.63421541306,1785,1,19,31.162781356865597
10,5312.8691359329,1901,1,24,81.53631925117016
11,6079.3122409915595,2277,1,30,56.10521264170483
12,4251.639885253932,2034,1,21,38.0494012407666
13,3203.2440822982944,1063,1,13,51.04279530649523
14,4209.112415161156,1568,1,17,67.74146675843971
15,3753.759558630011,1420,1,15,25.18868120177904
16,3422.8491601562623,1132,1,13,34.312405526534775
17,6251.389483642541,2355,1,31,54.75699579267943
18,3471.1110400390803,1254,1,13,67.04038048257837
19,5325.313994140601,2009,1,26,64.89174466806799
20,4161.953526496908,1510,1,17,66.03485151256473
21,3732.996614990248,1327,1,18,37.35420218043015
22,5754.574420242288,2176,1,26,43.14771073486064
23,5684.107951049788,2201,1,27,18.65723972615943
24,5831.858474540666,2360,1,29,39.30729295207621
25,5994.080549259143,2164,1,29,23.992763953941125
26,4006.404154663106,1391,1,18,45.23884368982711
27,4515.61654483797,1634,1,20,48.91741587373991
28,4010.9754735374636,1163,1,14,32.554014429240766
29,3929.0950919723714,1427,1,16,37.751790788909254
30,4758.61885280611,1620,1,22,77.17879024028849
31,4508.69143732072,1456,1,19,47.02717604961715
32,4647.839819946294,1453,1,21,38.95026021236616
33,3582.1841990471034,1035,1,10,55.9372865826593
34,4659.973434448246,1670,1,22,42.08000521477207
35,4365.666282196059,1279,1,14,55.8775371755509
36,6342.855758666931,2500,0,35,75.45290050220957
37,4365.92726127626,1589,1,20,34.24223656383375
38,5411.163932094549,1922,1,26,31.106331948766698
39,5391.930156254736,1920,1,23,67.52763997936991
40,5134.716477251067,1735,1,24,52.60119257326012
41,3955.58082611086,1314,1,13,60.29793545689452
42,5266.979149513225,1771,1,22,41.661741932827795
43,4722.608334388742,1558,1,20,77.68034624288372
44,7153.0447138690315,2438,1,33,47.29615340313233
45,3804.818697738664,1210,1,14,42.68974232841242
46,6329.177583360601,2330,1,34,52.25127377495849
47,6546.384863605471,2133,1,28,64.59259632456455
48,4874.878979320523,1519,1,18,61.95115043721779
49,5681.1478602957495,1954,1,26,31.130150218325316
50,4564.418935546883,1487,1,20,43.36053355666845
51,3268.7382421875113,888,1,10,59.36036081783528
52,3711.2034063720894,1073,1,12,33.83049851254777
53,3571.1555398178284,1114,1,11,53.68739979497671
54,3459.0672457707055,1054,1,12,34.470178467970534
55,4567.849894027711,1586,1,23,22.469171808985337
