episode,reward,steps,laps,collisions,speed
1,4143.842735042594,1768,1,21,49.83196239857485
2,3843.5916902923777,1138,1,16,37.744476163731115
3,4953.01944335938,1423,1,22,82.56806172650717
4,3832.301690273296,1116,1,18,63.18612797883288
5,3269.594384441385,697,1,10,88.83487224527497
6,4639.530713500987,1118,1,22,93.07915462718935
7,4995.367963867188,1211,1,26,50.95177280749147
8,5730.223712997417,1271,1,27,95.0
9,3794.6658460807894,684,1,13,94.24
10,5932.401458892802,1252,1,28,95.0
11,6306.80577611921,1300,1,29,95.0
12,6022.370124740592,1229,1,29,95.0
13,6267.03260918614,1337,1,34,58.573409958410586
14,3298.566273288735,516,1,10,95.0
15,5223.389348373407,912,1,20,94.24
16,3704.4538175964453,558,1,11,95.0
17,4798.318926868437,777,1,17,56.547747997063055
18,5193.434445800777,888,1,21,62.147029972119434
19,6162.002209472647,955,1,21,95.0
20,3173.5023217773487,472,1,9,95.0
21,4719.601594715127,846,1,22,95.0
22,5284.629227037432,894,1,23,95.0
23,4626.910688858033,751,1,18,95.0
24,3360.7343658447357,490,1,10,58.615528641669606
25,3085.026802883156,362,1,5,95.0
26,3320.732465820315,421,1,7,64.71738100365936
27,3636.9776000213737,594,1,14,95.0
28,4299.442621259696,681,1,16,62.173369961325236
29,3362.846240959171,497,1,10,95.0
30,2946.4253796768257,429,1,9,61.85075273561715
31,8053.9678281020615,1494,1,43,95.0
32,4536.136034622202,758,1,19,95.0
33,2626.3667871093808,332,1,5,95.0
34,4027.2239645385876,618,1,15,95.0
35,3168.0739425468487,441,1,8,95.0
36,3334.697347049717,461,1,9,95.0
37,3153.2431478881917,463,1,10,95.0
38,3200.623780746467,479,1,10,65.43952862284583
39,2964.7026861953777,406,1,8,95.0
40,3280.533696289064,439,1,9,65.43952862284583
41,3905.827577476508,571,1,12,95.0
42,4215.5117554664685,635,1,15,65.32277007155028
43,4555.284373521809,720,1,17,65.43952862284583
44,3989.691686754233,596,1,13,95.0
45,3431.945552368171,454,1,8,68.24304002876737
46,4680.374448919305,750,1,18,65.43952862284583
47,3720.107291259779,513,1,10,95.0
48,3043.4859044647274,372,1,6,95.0
49,2811.1021986389146,333,1,4,94.24
50,3192.3686747741763,459,1,9,95.0
51,4207.546000366223,606,1,13,95.0
52,3610.3025433349712,516,1,11,65.43952862284583
53,3889.582941284187,638,1,16,65.43952862284583
54,2975.750375556949,390,1,8,0.0
55,3139.5461638832126,448,1,9,95.0
56,3521.123628439912,543,1,12,62.173369961325236
57,3336.0628902435337,450,1,8,95.0
58,3033.2739324951226,418,1,8,95.0
59,3351.78900939942,509,1,11,95.0
60,3260.60718575955,493,1,11,65.43952862284583
61,3386.8467767334046,512,1,11,65.43952862284583
62,3695.4260322570904,570,1,12,95.0
63,2713.093365478518,375,1,7,95.0
64,2690.1236457633995,351,1,6,95.0
65,3179.591391677862,434,1,8,95.0
66,3466.6622119140666,489,1,10,62.06672862284582
67,3259.1903815460255,454,1,9,95.0
68,3027.170644302371,379,1,6,95.0
69,3537.8020327639642,484,1,10,62.093711022845824
70,3453.6407622528154,419,1,7,95.0
71,4113.60663330079,589,1,12,65.41655052791828
72,4104.227180519115,558,1,11,95.0
73,3411.8635736083993,402,1,6,95.0
74,3389.7860290527365,495,1,11,95.0
75,3714.619365158088,483,1,9,95.0
76,4414.578212890639,707,1,16,95.0
77,3744.6064849853606,535,1,11,95.0
78,4622.772560005191,716,1,17,68.28881239386307
79,3096.4076171875026,420,1,8,95.0
80,3378.045324096686,442,1,8,95.0
81,3682.4211104583796,559,1,13,65.43952862284583
82,4326.514165177346,698,1,17,65.25043072512963
83,4086.389698200232,621,1,13,63.42998355615117
84,3102.816378326424,409,1,8,95.0
85,5343.858462867737,812,1,18,95.0
86,4905.468999481201,745,1,17,95.0
87,4216.557308378224,593,1,12,95.0
88,3573.7481846451856,540,1,12,68.28881239386307
89,3249.248732299813,434,1,8,95.0
90,3171.9353219342315,484,1,11,68.28881239386307
91,3786.326281509409,537,1,11,95.0
92,2909.4014357757624,424,1,9,65.43952862284583
93,3019.510047283177,383,1,7,95.0
94,3615.850551872256,516,1,11,95.0
95,3102.6226746368475,416,1,7,95.0
96,4201.906090354931,655,1,15,95.0
97,3121.012011203768,447,1,9,65.43952862284583
98,3669.318229026802,559,1,13,68.26601812369493
99,3260.0990374755884,429,1,8,65.25043072512963
100,3431.845110025415,443,1,8,65.2012269637148
101,3550.138053131112,500,1,10,95.0
102,3063.289611320502,426,1,8,95.0
103,4351.185114154826,647,1,15,65.27473777847952
104,3403.311790809638,447,1,8,95.0
105,2907.9291221618705,390,1,7,95.0
106,3570.954131717685,499,1,10,65.41655052791828
107,3698.8640816640923,504,1,10,65.43952862284583
108,5089.30118747711,802,1,19,95.0
109,5725.159129428854,870,1,20,95.0
110,3415.7492699623162,520,1,12,68.28881239386307
111,2741.407176971437,375,1,7,95.0
112,4088.6828908825,638,1,16,65.43952862284583
113,4762.408220214843,749,1,18,62.077538271272246
114,2980.8529663086,415,1,8,95.0
115,3541.5206325054246,495,1,10,65.43952862284583
116,3741.6701573181244,501,1,9,95.0
117,3520.5090251541246,557,1,13,95.0
118,3668.385889892583,496,1,10,95.0
119,3998.7262683486974,582,1,13,95.0
120,3331.253003444675,448,1,9,65.43952862284583
121,4843.416369476332,738,1,17,95.0
122,3649.1105236053504,540,1,12,68.17391450684094
123,4372.900234889997,645,1,14,65.43952862284583
124,3463.211720581061,474,1,9,95.0
125,3608.350869026189,428,1,7,95.0
126,3452.8194435691885,507,1,12,68.28881239386307
127,3265.005573329932,457,1,9,95.0
128,3634.677837829598,526,1,11,95.0
129,3500.3262492752133,462,1,9,95.0
130,2979.682200927739,419,1,9,0.0
131,3420.432816162117,543,1,13,65.43952862284583
132,3658.8394334793156,530,1,11,95.0
133,2951.0183839416545,392,1,7,95.0
134,2947.7993368148864,395,1,8,95.0
135,4371.784976158147,627,1,14,95.0
136,4063.6891615677023,586,1,13,95.0
137,3469.440942993171,488,1,10,65.43952862284583
138,2806.999041557315,370,1,7,95.0
139,3419.9345135498106,451,1,9,95.0
140,3594.7822855377294,528,1,11,95.0
141,3480.8724359130924,472,1,9,65.43952862284583
142,3041.335450057988,396,1,7,95.0
143,3010.806118164068,402,1,8,95.0
144,3298.0060262680104,445,1,8,95.0
145,3016.3098966598545,370,1,6,94.24
146,3601.5805273437595,523,1,12,95.0
147,2818.7910216331484,345,1,6,65.43952862284583
148,4094.5053265381,621,1,14,65.1004161100292
149,3882.775072631842,582,1,13,95.0
150,4186.698122482311,596,1,13,95.0
151,3376.456888847359,461,1,9,95.0
152,4278.681011543284,622,1,14,95.0
153,4462.081882715236,745,1,20,65.43952862284583
154,4105.508866767894,641,1,15,95.0
155,3761.875031147011,537,1,12,68.28881239386307
156,3234.0514665985206,443,1,9,95.0
157,4225.016501007088,612,1,14,95.0
158,3391.85947265626,500,1,11,95.0
159,3641.9742833137557,490,1,10,95.0
160,8693.916996593412,1459,1,38,61.78010568029986
161,4599.266001052863,679,1,16,95.0
162,5120.775645294188,778,1,18,95.0
163,3160.354781208045,432,1,8,95.0
164,3637.4276683426,557,1,14,0.0
165,4309.113722076422,638,1,14,95.0
166,2832.8802783918422,294,1,3,95.0
167,2843.736299438481,369,1,7,65.43952862284583
168,3347.240989341743,418,1,7,95.0
169,4125.5488467788755,582,1,14,0.0
170,4223.12073476792,646,1,15,65.43952862284583
171,3476.1290090560938,470,1,9,95.0
172,3387.5374893760713,477,1,10,95.0
173,3246.795000476841,454,1,9,65.43952862284583
174,3747.100519981393,558,1,13,95.0
175,3749.9394202089366,522,1,11,65.43952862284583
176,3539.471483993536,520,1,11,95.0
177,3018.4272473144592,401,1,8,71.11530189471218
178,4664.265703506473,669,1,16,0.0
179,3039.5968119049126,443,1,9,95.0
180,3281.194232559205,465,1,10,95.0
181,3071.344666080481,426,1,9,65.43952862284583
182,4727.0259136962895,731,1,18,95.0
183,3499.3915575409005,483,1,10,95.0
184,2863.1534478759813,372,1,7,65.43952862284583
185,3515.5293982315125,491,1,10,95.0
186,2955.785993652345,441,1,10,65.43952862284583
187,3774.2497651672415,547,1,12,68.28881239386307
188,3245.6246743774495,487,1,11,68.28881239386307
189,4080.662216711055,610,1,14,95.0
190,2989.0073500061044,373,1,7,95.0
191,3791.2096246337974,502,1,11,0.0
192,4499.4020534896945,613,1,13,95.0
193,5964.669130058263,989,1,26,95.0
194,3704.2342641449027,522,1,11,95.0
195,4739.103805389412,683,1,15,95.0
196,3973.623835220344,568,1,12,95.0
197,2795.3952307510417,301,1,4,95.0
198,3351.048654632575,451,1,9,95.0
199,3013.1396874046404,422,1,9,65.43952862284583
200,3440.261412620554,500,1,11,95.0
201,3037.5775258636513,387,1,7,95.0
202,3441.030614776623,484,1,10,95.0
203,4255.6603580570345,657,1,16,65.43952862284583
204,3057.027914943699,398,1,7,65.43952862284583
205,3284.3745991993023,496,1,11,68.28881239386307
206,4285.247015657438,633,1,14,65.43952862284583
207,2581.7325292968753,308,1,4,95.0
208,4365.06437397004,645,1,14,95.0
209,2920.3850439453167,373,1,6,65.43952862284583
210,3253.4094989013756,489,1,11,62.173369961325236
211,5748.728700618738,901,1,21,95.0
212,4034.609013137827,592,1,13,95.0
213,3501.3331976318473,498,1,10,95.0
214,3423.7420972824166,550,1,14,95.0
215,3997.2574458074655,614,1,14,62.147029972119434
216,3004.6004933929476,442,1,10,95.0
217,3435.720020141606,463,1,9,65.41655052791828
218,2980.1240472221434,368,1,6,95.0
219,3043.109770774851,410,1,8,65.43952862284583
220,3422.2727462005673,504,1,11,65.43952862284583
221,2863.7257683563257,401,1,8,95.0
222,3237.0643674850494,415,1,7,95.0
223,2988.6726274681105,374,1,7,65.43952862284583
224,3942.274299316414,611,1,14,68.28881239386307
225,4183.447405136833,649,1,15,62.147029972119434
226,4206.113553457269,611,1,14,65.43952862284583
227,3287.0848376464896,489,1,11,67.97771589405748
228,2802.082070236209,356,1,6,95.0
229,3673.069313735972,509,1,10,95.0
230,3756.2141338157726,531,1,12,65.43952862284583
231,3352.4678485107465,479,1,10,68.28881239386307
232,4089.148864040381,692,1,18,65.43952862284583
233,3153.0116999435472,451,1,9,94.24
234,3032.265816116337,405,1,8,95.0
235,3787.4432942199783,501,1,10,95.0
236,3341.5913293457093,477,1,10,95.0
237,4216.02525890351,616,1,13,95.0
238,2987.2097069168126,388,1,7,95.0
239,2786.791541042335,378,1,7,95.0
240,3337.6635266876283,492,1,11,95.0
241,2908.0973125648557,354,1,5,95.0
242,4441.196873011592,633,1,13,65.02265373234248
243,4075.6775457763756,553,1,11,95.0
244,3412.7345447397297,482,1,10,95.0
245,3118.6889976120046,452,1,10,95.0
246,4526.16340881348,712,1,17,65.43952862284583
247,4427.396718750005,632,1,14,95.0
248,2797.9171914482176,353,1,6,95.0
249,3491.3521350860688,485,1,10,95.0
250,2923.5000408935593,421,1,9,70.92921746109397
251,3956.566021862038,613,1,14,95.0
252,3987.39117242814,614,1,15,0.0
253,3420.195176754004,482,1,10,95.0
254,2870.7714438247713,376,1,7,95.0
255,3045.9357943725654,434,1,9,95.0
256,3395.4728796005334,415,1,7,95.0
257,2972.330184345248,371,1,6,95.0
258,3924.422324752815,620,1,15,95.0
259,2854.176008343698,375,1,7,65.43952862284583
260,2983.7264569139556,462,1,11,65.43952862284583
261,2947.9080802345325,413,1,9,64.96976133466306
262,3433.831190147409,508,1,11,95.0
263,4261.207521896366,591,1,12,95.0
264,3971.0058690643386,597,1,13,95.0
265,2857.870161647799,354,1,6,95.0
266,3479.8237425804195,545,1,13,65.43952862284583
267,3099.6811267852827,400,1,7,95.0
268,3607.223999023443,505,1,10,95.0
269,3994.780027406226,581,1,13,65.43952862284583
270,3897.3110510253964,543,1,11,95.0
271,3245.375962333686,451,1,9,95.0
272,3505.0516733169616,490,1,10,95.0
273,3438.6540814209006,481,1,10,95.0
274,3971.066713194852,541,1,11,68.28881239386307
275,4330.6488842773515,601,1,13,0.0
276,4707.9052767372095,732,1,18,95.0
277,3794.8825862884573,550,1,12,95.0
278,3231.648057174686,485,1,11,95.0
279,4372.404494400038,684,1,16,95.0
280,3626.047200317388,474,1,9,95.0
