episode,reward,steps,completed_lap,collisions,epsilon
1,6235.954656982352,2500,0,33,0.997
2,5293.137847900341,2500,0,31,0.994009
3,4156.755167846706,1771,1,22,0.991026973
4,5109.233177089668,2180,1,25,0.988053892081
5,4420.710649557133,1704,1,21,0.985089730404757
6,4583.22012360573,1981,1,22,0.9821344612135428
7,5487.687338256822,2500,0,34,0.9791880578299021
8,5314.464500274627,2273,1,25,0.9762504936564125
9,5786.057620849599,2288,1,33,0.9733217421754432
10,5558.136738586411,2135,1,27,0.9704017769489168
11,6024.216234950977,2486,1,29,0.9674905716180701
12,6088.464312744063,2500,0,33,0.9645880999032158
13,5545.56777038571,2500,0,32,0.9616943356035061
14,6017.492149352966,2500,0,33,0.9588092525966956
15,4095.5646522522134,1240,1,14,0.9559328248389055
16,5767.013595581031,2500,0,32,0.9530650263643888
17,4508.491174659729,1612,1,20,0.9502058312852957
18,4778.622206153881,1528,1,20,0.9473552137914398
19,4647.202468872077,1760,1,20,0.9445131481500655
20,6131.679208373991,2500,0,31,0.9416796087056153
21,3502.839473321454,1103,1,11,0.9388545698794984
22,5566.70337818142,2121,1,27,0.93603800616986
23,4966.4390668106125,1699,1,20,0.9332298921513504
24,4604.258384113327,1731,1,20,0.9304302024748964
25,4577.609029121402,1764,1,22,0.9276389118674717
26,5125.421445236183,2177,1,27,0.9248559951318693
27,4675.40570806504,1663,1,18,0.9220814271464737
28,5793.539752197228,2500,0,34,0.9193151828650342
29,6178.091926441166,2362,1,28,0.9165572373164391
30,5672.096665916433,2177,1,28,0.9138075656044898
31,4489.318948020947,1623,1,24,0.9110661429076764
32,4393.165829772959,1574,1,19,0.9083329444789534
33,4704.546408538833,1731,1,21,0.9056079456455165
34,4774.435079870238,1612,1,18,0.90289112180858
35,5433.250552139283,1937,1,25,0.9001824484431542
36,4318.917885055568,1528,1,20,0.8974819010978248
37,4996.499163075671,1823,1,25,0.8947894553945313
38,4219.321144924183,1437,1,17,0.8921050870283477
39,5550.7278452300625,2158,1,27,0.8894287717672626
40,6612.702624511668,2500,0,38,0.8867604854519608
41,5112.690132446276,1914,1,24,0.884100203995605
42,3331.7222681045646,960,1,12,0.8814479033836181
43,4691.417580280314,1762,1,24,0.8788035596734672
44,5451.416401367169,1976,1,26,0.8761671489944468
45,4232.066562862415,1334,1,17,0.8735386475474635
46,6298.557883739414,2295,1,31,0.8709180316048211
47,4974.0382054042875,1714,1,22,0.8683052775100066
48,4881.654645996089,1796,1,20,0.8657003616774767
49,5649.944758720382,2164,1,30,0.8631032605924442
50,5398.76987792967,1904,1,25,0.860513950810667
51,5885.412664794873,2500,0,35,0.857932408958235
52,2922.6341548538285,897,1,8,0.8553586117313603
53,5952.851551933262,2049,1,24,0.8527925358961662
54,5930.0133880614585,2500,0,35,0.8502341582884777
55,3471.5770074463067,1232,1,15,0.8476834558136123
56,5428.841715598091,1860,1,25,0.8451404054461714
57,4732.479897589672,1694,1,23,0.8426049842298329
58,4418.1676336670125,1513,1,20,0.8400771692771434
59,5976.473573532054,2398,1,31,0.837556937769312
60,5583.814662990543,1972,1,24,0.835044266956004
61,5124.949672241203,1729,1,23,0.8325391341551359
62,6023.681853141761,2163,1,29,0.8300415167526705
63,5340.108319320649,1798,1,23,0.8275513922024125
64,4123.459018554702,1333,1,15,0.8250687380258053
65,4519.960064544682,1778,1,22,0.8225935318117279
66,5221.101953773479,1976,1,28,0.8201257512162927
67,4558.720870151535,1643,1,19,0.8176653739626438
68,6573.934454345649,2500,0,36,0.8152123778407558
69,5982.113220214802,2500,0,36,0.8127667407072335
70,4708.5128992652935,1707,1,23,0.8103284404851119
71,4950.094147818103,1571,1,21,0.8078974551636565
72,6327.357647705018,2500,0,36,0.8054737627981655
73,6048.94083507531,2476,1,33,0.803057341509771
74,5409.315461139662,1916,1,23,0.8006481694852418
75,6193.380284509578,2382,1,32,0.798246224976786
76,4631.757114715581,1514,1,19,0.7958514863018556
77,6244.594522094654,2500,0,37,0.79346393184295
78,5461.868783435767,1967,1,28,0.7910835400474212
79,6364.186607398943,2318,1,32,0.7887102894272789
80,5877.084862060501,2009,1,25,0.7863441585589971
81,3721.114557437911,1061,1,12,0.78398512608332
82,5664.209476184821,2010,1,27,0.7816331707050701
83,3353.503082647338,1108,1,12,0.7792882711929549
84,4214.668249387761,1414,1,20,0.776950406379376
85,5768.964355964629,1869,1,25,0.7746195551602378
86,3919.4393904876915,1444,1,18,0.7722956964947572
87,5124.14531290054,1794,1,24,0.7699788094052729
88,4854.678238563552,1606,1,20,0.767668872977057
89,5070.446072731015,1542,1,19,0.7653658663581259
90,4865.139837703706,1687,1,21,0.7630697687590515
91,4768.780954723352,1656,1,22,0.7607805594527743
92,5381.60626525877,1680,1,22,0.7584982177744161
93,4025.6404718399203,1350,1,15,0.7562227231210928
94,4829.462727050771,1731,1,22,0.7539540549517295
95,5760.529814453074,1979,1,25,0.7516921927868743
96,6434.147225799507,2398,1,33,0.7494371162085136
97,6530.488626651717,2196,1,29,0.747188804859888
98,5875.890499877875,2500,0,39,0.7449472384453084
99,5611.608868751525,1852,1,26,0.7427123967299725
100,6532.7364837645855,2500,0,33,0.7404842595397826
101,4878.165084228496,1627,1,21,0.7382628067611632
102,6253.485294189414,1983,1,27,0.7360480183408797
103,5485.383158664688,1851,1,26,0.7338398742858571
104,6209.24960306162,2121,1,29,0.7316383546629995
105,5293.68754798887,1884,1,23,0.7294434395990105
106,6492.952069683016,2244,1,32,0.7272551092802134
107,3934.6189341735967,1204,1,16,0.7250733439523728
108,5552.311973648042,1781,1,25,0.7228981239205157
109,3657.9808009719986,1287,1,15,0.7207294295487541
110,6781.222084655701,2203,1,30,0.7185672412601078
111,7024.200595092691,2500,0,37,0.7164115395363275
112,3802.866804838193,1080,1,12,0.7142623049177186
113,5781.875325069385,1932,1,23,0.7121195180029655
114,4171.040963153857,1191,1,14,0.7099831594489566
115,3223.3056063795193,923,1,9,0.7078532099706097
116,5664.720279045072,1979,1,26,0.7057296503406979
117,5088.682585430152,1730,1,23,0.7036124613896758
118,3426.188991613401,939,1,11,0.7015016240055068
119,6499.415695190356,2500,0,38,0.6993971191334902
120,6152.525279540967,2229,1,29,0.6972989277760897
121,7634.712832641522,2500,0,38,0.6952070309927615
122,5796.770448017094,1955,1,26,0.6931214098997832
123,6329.453353881772,2500,0,41,0.6910420456700839
124,6485.23341064446,2500,0,36,0.6889689195330736
125,5415.958869804428,1785,1,21,0.6869020127744744
126,6212.315423583898,2500,0,41,0.684841306736151
127,6328.473208618104,2500,0,37,0.6827867828159425
128,6539.741949462816,2500,0,38,0.6807384224674947
129,5231.783749771118,1720,1,24,0.6786962072000923
130,6368.800469970613,2500,0,38,0.676660118578492
131,6668.579919433512,2500,0,40,0.6746301382227565
132,4496.947763462082,1444,1,18,0.6726062478080883
133,6780.915710926009,2350,1,34,0.6705884290646641
134,3908.7498016357536,1150,1,16,0.66857666377747
135,5104.903037109372,1493,1,19,0.6665709337861376
