episode,reward,steps,laps,collisions,speed
1,3756.2677265262787,1347,1,14,31.5396171659174
2,5404.585379848479,1992,1,24,33.98202495089291
3,4120.3261442375415,1684,1,20,15.453653772060726
4,4830.4250249862625,1820,1,25,76.52123456545333
5,5371.7510738563415,2149,1,26,52.72575230482595
6,5275.567208995811,2023,1,23,36.26464130459522
7,4839.484542913424,1844,1,25,51.755744628174824
8,4503.577444458019,1635,1,21,82.49352220352897
9,4572.955606098184,1824,1,22,57.191672539016224
10,4912.514935207368,1780,1,23,24.255273989256132
11,5437.998522949196,2500,0,33,31.5787165884462
12,6323.453680419843,2500,0,36,29.948153578662566
13,4247.178211708089,1694,1,21,30.72838614375591
14,5385.401949720377,1901,1,26,39.288186808884205
15,5500.7439230728,2091,1,26,56.429279985936
16,5232.963073730438,2500,0,38,9.434672958774547
17,5599.085240173276,2500,0,35,24.22414010563907
18,5025.925187416084,1809,1,23,58.840676504001955
19,4326.455963020352,1536,1,20,67.35719424838301
20,5651.528167724574,2500,0,32,8.561724006381752
21,6325.164808902683,2472,1,31,50.05838850618325
22,5626.466504516563,1988,1,25,30.531400388530187
23,4351.520958404559,1501,1,17,61.26337054479761
24,3482.3970500850805,1013,1,11,47.580839817831794
25,3292.603076095593,789,1,9,85.15639601500436
26,6267.366883335061,2427,1,29,68.50993657178378
27,5229.273130226111,1875,1,25,68.78380313744674
28,5327.772995653135,1963,1,26,49.15419644555693
29,5712.959265136653,2500,0,31,9.90447491224699
30,4037.476188812275,1647,1,20,20.27296796108019
31,4397.92440195085,1450,1,17,42.63993968815963
32,5003.275837535831,2039,1,26,0.0
33,4412.8055064773625,1757,1,22,29.389836404781835
34,3518.287250766772,1062,1,11,28.89101840588105
35,5730.758551025371,1985,1,25,27.112459193010714
36,4487.711067790993,1754,1,23,53.792056938730425
37,5317.860806140874,1657,1,24,32.51705341351182
38,3780.364099731456,1238,1,14,0.0
39,5060.279290122986,1484,1,18,47.76920945666904
40,3488.8054740905877,1135,1,13,39.90038152461858
41,3743.3590063476736,1203,1,14,54.250055650560874
42,4343.361521797201,1576,1,19,62.73531249493727
43,3958.9031518554916,1462,1,19,25.281458735479415
44,4981.6948315429545,1756,1,24,25.853997873736066
45,6217.827389526338,2205,1,31,37.023800651844255
46,5651.2552278899875,1913,1,27,32.60539896853112
47,3802.8724108886895,1104,1,13,52.21633485441128
48,3681.6827783584768,1270,1,14,54.17040860174199
49,5471.048565483083,1890,1,25,63.058859805196306
50,6377.970999145457,2495,1,35,31.614163772646727
51,6101.777103166551,2191,1,28,43.39107962976173
52,3691.8855485344066,1183,1,15,29.45300341282905
53,4491.950300064098,1573,1,23,58.77899078821742
54,5882.730978393516,2500,0,37,20.358284930377202
55,4084.9946008301013,1352,1,15,53.08933560450679
56,5226.160087432857,1638,1,21,51.37455976870869
57,4102.031982421893,1365,1,17,46.24239200144946
58,4229.989357833872,1366,1,16,25.24283148888123
59,5366.037139892561,1910,1,26,41.99874874738064
60,3943.560034160628,1136,1,12,61.090099825655834
61,4164.786007504485,1361,1,16,42.92306184231401
62,5523.541301546092,1647,1,20,54.99952404588564
63,5290.16682697295,1757,1,23,67.70769901598952
64,3239.4787084961117,1053,1,12,49.98135133570309
65,4936.775584077845,1780,1,22,47.47828407062468
66,3073.63583618165,847,1,10,41.207116689808444
67,4925.192723846435,1740,1,25,29.017418902767265
68,3359.9517407226704,981,1,12,70.49071632440956
69,4881.933785915365,1590,1,22,28.887046027013717
70,4361.19619592668,1308,1,16,53.21715851660813
71,5617.087687702148,1899,1,27,59.71363704683556
72,4410.638642272963,1497,1,21,35.39243039989637
73,4708.21643531799,1496,1,21,0.0
74,3192.554954910287,765,1,9,46.675211640296425
75,3549.7132912826723,1069,1,12,65.74949315342079
76,5422.515970458968,1823,1,24,29.558683660128022
77,4282.728184633272,1426,1,19,45.88447488460141
78,4008.2902487278197,1245,1,16,59.240042678134365
79,4837.766712779995,1484,1,21,69.61753246345766
80,7307.52438964836,2500,0,40,11.074447042802705
81,3133.838174445639,894,1,11,50.575550175516994
82,5827.89172321316,1862,1,26,46.8455079847872
